Program,Year,Period,State,State ANSI,County,County ANSI,Commodity,Data Item,Value
CENSUS,2012,YEAR,ALABAMA,1,AUTAUGA,1,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",29676
CENSUS,2012,YEAR,ALABAMA,1,BULLOCK,11,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",13229
CENSUS,2012,YEAR,ALABAMA,1,DALLAS,47,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",49019
CENSUS,2012,YEAR,ALABAMA,1,ELMORE,51,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",26763
CENSUS,2012,YEAR,ALABAMA,1,GREENE,63,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",10558
CENSUS,2012,YEAR,ALABAMA,1,HALE,65,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",17729
CENSUS,2012,YEAR,ALABAMA,1,LOWNDES,85,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",31411
CENSUS,2012,YEAR,ALABAMA,1,MACON,87,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",12496
CENSUS,2012,YEAR,ALABAMA,1,MARENGO,91,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",21288
CENSUS,2012,YEAR,ALABAMA,1,MONTGOMERY,101,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",34182
CENSUS,2012,YEAR,ALABAMA,1,PERRY,105,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",27258
CENSUS,2012,YEAR,ALABAMA,1,SUMTER,119,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",17146
CENSUS,2012,YEAR,ALABAMA,1,BALDWIN,3,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",91571
CENSUS,2012,YEAR,ALABAMA,1,BUTLER,13,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",13448
CENSUS,2012,YEAR,ALABAMA,1,CHOCTAW,23,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",5673
CENSUS,2012,YEAR,ALABAMA,1,CLARKE,25,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",6195
CENSUS,2012,YEAR,ALABAMA,1,CONECUH,35,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",15143
CENSUS,2012,YEAR,ALABAMA,1,ESCAMBIA,53,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",41843
CENSUS,2012,YEAR,ALABAMA,1,MOBILE,97,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",31637
CENSUS,2012,YEAR,ALABAMA,1,MONROE,99,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",45651
CENSUS,2012,YEAR,ALABAMA,1,WASHINGTON,129,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",9576
CENSUS,2012,YEAR,ALABAMA,1,WILCOX,131,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",12351
CENSUS,2012,YEAR,ALABAMA,1,BLOUNT,9,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",27598
CENSUS,2012,YEAR,ALABAMA,1,CALHOUN,15,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",18519
CENSUS,2012,YEAR,ALABAMA,1,CHEROKEE,19,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",53001
CENSUS,2012,YEAR,ALABAMA,1,CLEBURNE,29,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",5877
CENSUS,2012,YEAR,ALABAMA,1,CULLMAN,43,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",49623
